recvTime,entityId,entityType,refDevice,location,status
2025-02-27 19:00:45+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 19:00:59+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 19:01:44+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 19:01:45+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 19:03:09+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 19:03:22+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 19:05:37+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 19:05:45+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 19:06:42+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 19:07:04+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 19:10:00+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 19:10:18+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 19:12:46+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 19:21:01+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 19:21:40+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 19:21:53+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 19:22:06+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 19:25:00+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 19:25:16+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 19:25:42+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 19:25:54+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 19:28:26+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 19:28:27+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 19:29:38+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
